feature,importance
cat__ORIGIN_BMI,0.0
cat__ORIGIN_BOI,0.0
cat__ORIGIN_BPT,0.0
cat__ORIGIN_BQN,0.0
cat__ORIGIN_BRD,0.0
cat__ORIGIN_BRO,0.0
cat__ORIGIN_BRW,0.0
cat__ORIGIN_BTM,0.0
cat__ORIGIN_BTR,0.0
cat__ORIGIN_BTV,0.0
cat__ORIGIN_BUF,0.0
cat__ORIGIN_BUR,0.0
cat__ORIGIN_BZN,0.0
cat__ORIGIN_CAE,0.0
cat__ORIGIN_CAK,0.0
cat__ORIGIN_CDC,0.0
cat__ORIGIN_CDV,0.0
cat__ORIGIN_CHA,0.0
cat__ORIGIN_CHO,0.0
cat__ORIGIN_CHS,0.0
cat__ORIGIN_CID,0.0
cat__ORIGIN_CIU,0.0
cat__ORIGIN_CKB,0.0
cat__ORIGIN_CLL,0.0
cat__ORIGIN_CMI,0.0
cat__ORIGIN_CMX,0.0
cat__ORIGIN_COD,0.0
cat__ORIGIN_COS,0.0
cat__ORIGIN_COU,0.0
cat__ORIGIN_CPR,0.0
cat__ORIGIN_CRP,0.0
cat__ORIGIN_CRW,0.0
cat__ORIGIN_CVG,0.0
cat__ORIGIN_CYS,0.0
cat__ORIGIN_DAB,0.0
cat__ORIGIN_DAL,0.0
cat__ORIGIN_DAY,0.0
cat__ORIGIN_DDC,0.0
cat__ORIGIN_DEC,0.0
cat__ORIGIN_DIK,0.0
cat__ORIGIN_DLH,0.0
cat__ORIGIN_DRO,0.0
cat__ORIGIN_DSM,0.0
cat__ORIGIN_DVL,0.0
cat__ORIGIN_EAR,0.0
cat__ORIGIN_EAU,0.0
cat__ORIGIN_ECP,0.0
cat__ORIGIN_EGE,0.0
cat__ORIGIN_EKO,0.0
cat__ORIGIN_ELM,0.0
cat__ORIGIN_ELP,0.0
cat__ORIGIN_ESC,0.0
cat__ORIGIN_EUG,0.0
cat__ORIGIN_EVV,0.0
cat__ORIGIN_EYW,0.0
cat__ORIGIN_FAI,0.0
cat__ORIGIN_FAR,0.0
cat__ORIGIN_FAT,0.0
cat__ORIGIN_FAY,0.0
cat__ORIGIN_FCA,0.0
cat__ORIGIN_FLG,0.0
cat__ORIGIN_FNT,0.0
cat__ORIGIN_FOD,0.0
cat__ORIGIN_FSD,0.0
cat__ORIGIN_FSM,0.0
cat__ORIGIN_FWA,0.0
cat__ORIGIN_GCC,0.0
cat__ORIGIN_GCK,0.0
cat__ORIGIN_GEG,0.0
cat__ORIGIN_GFK,0.0
cat__ORIGIN_GGG,0.0
cat__ORIGIN_GJT,0.0
cat__ORIGIN_GNV,0.0
cat__ORIGIN_GPT,0.0
cat__ORIGIN_GRB,0.0
cat__ORIGIN_GRI,0.0
cat__ORIGIN_GRK,0.0
cat__ORIGIN_GRR,0.0
cat__ORIGIN_GSO,0.0
cat__ORIGIN_GSP,0.0
cat__ORIGIN_GTF,0.0
cat__ORIGIN_GUC,0.0
cat__ORIGIN_GUM,0.0
cat__ORIGIN_HDN,0.0
cat__ORIGIN_HGR,0.0
cat__ORIGIN_HHH,0.0
cat__ORIGIN_HIB,0.0
cat__ORIGIN_HLN,0.0
cat__ORIGIN_HOB,0.0
cat__ORIGIN_HPN,0.0
cat__ORIGIN_HRL,0.0
cat__ORIGIN_HSV,0.0
cat__ORIGIN_HTS,0.0
cat__ORIGIN_HYS,0.0
cat__ORIGIN_IAG,0.0
cat__ORIGIN_ICT,0.0
cat__ORIGIN_IDA,0.0
cat__ORIGIN_ILM,0.0
cat__ORIGIN_IMT,0.0
cat__ORIGIN_IND,0.0
cat__ORIGIN_INL,0.0
cat__ORIGIN_ISP,0.0
cat__ORIGIN_ITO,0.0
cat__ORIGIN_JAC,0.0
cat__ORIGIN_JAN,0.0
cat__ORIGIN_JAX,0.0
cat__ORIGIN_JLN,0.0
cat__ORIGIN_JMS,0.0
cat__ORIGIN_JNU,0.0
cat__ORIGIN_JST,0.0
cat__ORIGIN_KOA,0.0
cat__ORIGIN_KTN,0.0
cat__ORIGIN_LAN,0.0
cat__ORIGIN_LAR,0.0
cat__ORIGIN_LAW,0.0
cat__ORIGIN_LBB,0.0
cat__ORIGIN_LBE,0.0
cat__ORIGIN_LBF,0.0
cat__ORIGIN_LBL,0.0
cat__ORIGIN_LCH,0.0
cat__ORIGIN_LCK,0.0
cat__ORIGIN_LEX,0.0
cat__ORIGIN_LFT,0.0
cat__ORIGIN_LGB,0.0
cat__ORIGIN_LIH,0.0
cat__ORIGIN_LIT,0.0
cat__ORIGIN_LNK,0.0
cat__ORIGIN_LRD,0.0
cat__ORIGIN_LSE,0.0
cat__ORIGIN_LWS,0.0
cat__ORIGIN_MAF,0.0
cat__ORIGIN_MBS,0.0
cat__ORIGIN_MCI,0.0
cat__ORIGIN_MCW,0.0
cat__ORIGIN_MDT,0.0
cat__ORIGIN_MEI,0.0
cat__ORIGIN_MEM,0.0
cat__ORIGIN_MFE,0.0
cat__ORIGIN_MFR,0.0
cat__ORIGIN_MGM,0.0
cat__ORIGIN_MGW,0.0
cat__ORIGIN_MHK,0.0
cat__ORIGIN_MHT,0.0
cat__ORIGIN_MKE,0.0
cat__ORIGIN_MLB,0.0
cat__ORIGIN_MLI,0.0
cat__ORIGIN_MLU,0.0
cat__ORIGIN_MOB,0.0
cat__ORIGIN_MOT,0.0
cat__ORIGIN_MQT,0.0
cat__ORIGIN_MRY,0.0
cat__ORIGIN_MSN,0.0
cat__ORIGIN_MSO,0.0
cat__ORIGIN_MSY,0.0
cat__ORIGIN_MTJ,0.0
cat__ORIGIN_MYR,0.0
cat__ORIGIN_OAJ,0.0
cat__ORIGIN_OAK,0.0
cat__ORIGIN_OGG,0.0
cat__ORIGIN_OKC,0.0
cat__ORIGIN_OMA,0.0
cat__ORIGIN_OME,0.0
cat__ORIGIN_ONT,0.0
cat__ORIGIN_ORF,0.0
cat__ORIGIN_ORH,0.0
cat__ORIGIN_OTH,0.0
cat__ORIGIN_OTZ,0.0
cat__ORIGIN_PAE,0.0
cat__ORIGIN_PBG,0.0
cat__ORIGIN_PBI,0.0
cat__ORIGIN_PDX,0.0
cat__ORIGIN_PGD,0.0
cat__ORIGIN_PIA,0.0
cat__ORIGIN_PIB,0.0
cat__ORIGIN_PIE,0.0
cat__ORIGIN_PIH,0.0
cat__ORIGIN_PLN,0.0
cat__ORIGIN_PNS,0.0
