model,accuracy,precision,recall,f1_score
Baseline,0.8121086794186915,0.0,0.0,0.0
Logistic Regression,0.6002067895915906,0.25973687638400417,0.6095995108529502,0.36426744610887835
Decision Tree,0.7093744614854386,0.33571144248139867,0.5586466931621319,0.419393707564311
Random Forest,0.5967315756218048,0.26043064340936684,0.6230510547233262,0.3673230297841662
Gradient Boosting,0.8136787485400272,0.7180851063829787,0.013757260776520942,0.026997300269973004
GridSearch Tuned Decision Tree,0.702567637428916,0.3374161646015687,0.6049628044430857,0.4332104936695005
GridSearch Tuned Decision Tree,0.702567637428916,0.3374161646015687,0.6049628044430857,0.4332104936695005
